 Ep_number: 40, Ep_Reward: -1193.6, Ep_tot_steps: 200, T_overlap: 5, T_nonbonded: 195, T_tot_all_min: 4, T_similar_min: 2, T_lower_ene_min: 1, T_higher_ene_min: 1, T_high_low_min: 2, T_unique_min: (28, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 11, atom_shift: 2.0 
 Ep_number: 41, Ep_Reward: -2050.0, Ep_tot_steps: 200, T_overlap: 5, T_nonbonded: 200, T_tot_all_min: 0, T_similar_min: 0, T_lower_ene_min: 0, T_higher_ene_min: 0, T_high_low_min: 0, T_unique_min: (26, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 6, atom_shift: -2.0 
 Ep_number: 42, Ep_Reward: -2020.0, Ep_tot_steps: 200, T_overlap: 2, T_nonbonded: 200, T_tot_all_min: 0, T_similar_min: 0, T_lower_ene_min: 0, T_higher_ene_min: 0, T_high_low_min: 0, T_unique_min: (26, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 5, atom_shift: 2.0 
 Ep_number: 43, Ep_Reward: -2000.0, Ep_tot_steps: 200, T_overlap: 0, T_nonbonded: 198, T_tot_all_min: 2, T_similar_min: 2, T_lower_ene_min: 0, T_higher_ene_min: 0, T_high_low_min: 0, T_unique_min: (26, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 8, atom_shift: -2.0 
 Ep_number: 44, Ep_Reward: -2030.0, Ep_tot_steps: 200, T_overlap: 3, T_nonbonded: 200, T_tot_all_min: 0, T_similar_min: 0, T_lower_ene_min: 0, T_higher_ene_min: 0, T_high_low_min: 0, T_unique_min: (26, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 11, atom_shift: -2.0 
 Ep_number: 45, Ep_Reward: -2010.0, Ep_tot_steps: 200, T_overlap: 1, T_nonbonded: 200, T_tot_all_min: 0, T_similar_min: 0, T_lower_ene_min: 0, T_higher_ene_min: 0, T_high_low_min: 0, T_unique_min: (26, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 9, atom_shift: -2.0 
 Ep_number: 46, Ep_Reward: -1824.6, Ep_tot_steps: 200, T_overlap: 8, T_nonbonded: 199, T_tot_all_min: 1, T_similar_min: 0, T_lower_ene_min: 1, T_higher_ene_min: 0, T_high_low_min: 1, T_unique_min: (26, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 4, atom_shift: 2.0 
 Ep_number: 47, Ep_Reward: -1682.7, Ep_tot_steps: 200, T_overlap: 8, T_nonbonded: 196, T_tot_all_min: 4, T_similar_min: 3, T_lower_ene_min: 1, T_higher_ene_min: 0, T_high_low_min: 1, T_unique_min: (27, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 3, atom_shift: 2.0 
 Ep_number: 48, Ep_Reward: -2010.0, Ep_tot_steps: 200, T_overlap: 1, T_nonbonded: 200, T_tot_all_min: 0, T_similar_min: 0, T_lower_ene_min: 0, T_higher_ene_min: 0, T_high_low_min: 0, T_unique_min: (26, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 4, atom_shift: 2.0 
 Ep_number: 49, Ep_Reward: -2010.0, Ep_tot_steps: 200, T_overlap: 1, T_nonbonded: 200, T_tot_all_min: 0, T_similar_min: 0, T_lower_ene_min: 0, T_higher_ene_min: 0, T_high_low_min: 0, T_unique_min: (26, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 9, atom_shift: -2.0 
 Ep_number: 50, Ep_Reward: -1990.0, Ep_tot_steps: 200, T_overlap: 0, T_nonbonded: 199, T_tot_all_min: 1, T_similar_min: 0, T_lower_ene_min: 0, T_higher_ene_min: 1, T_high_low_min: 1, T_unique_min: (27, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 1, atom_shift: -2.0 
 Ep_number: 51, Ep_Reward: -2020.0, Ep_tot_steps: 200, T_overlap: 2, T_nonbonded: 196, T_tot_all_min: 4, T_similar_min: 4, T_lower_ene_min: 0, T_higher_ene_min: 0, T_high_low_min: 0, T_unique_min: (26, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 9, atom_shift: 2.0 
 Ep_number: 52, Ep_Reward: -2090.0, Ep_tot_steps: 200, T_overlap: 10, T_nonbonded: 199, T_tot_all_min: 1, T_similar_min: 0, T_lower_ene_min: 0, T_higher_ene_min: 1, T_high_low_min: 1, T_unique_min: (27, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 8, atom_shift: 2.0 
 Ep_number: 53, Ep_Reward: -1520.9, Ep_tot_steps: 200, T_overlap: 4, T_nonbonded: 191, T_tot_all_min: 7, T_similar_min: 3, T_lower_ene_min: 2, T_higher_ene_min: 2, T_high_low_min: 4, T_unique_min: (30, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 8, atom_shift: 2.0 
 Ep_number: 54, Ep_Reward: -2010.0, Ep_tot_steps: 200, T_overlap: 1, T_nonbonded: 200, T_tot_all_min: 0, T_similar_min: 0, T_lower_ene_min: 0, T_higher_ene_min: 0, T_high_low_min: 0, T_unique_min: (26, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 11, atom_shift: -2.0 
 Ep_number: 55, Ep_Reward: -2000.0, Ep_tot_steps: 200, T_overlap: 1, T_nonbonded: 199, T_tot_all_min: 1, T_similar_min: 0, T_lower_ene_min: 0, T_higher_ene_min: 1, T_high_low_min: 1, T_unique_min: (27, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 7, atom_shift: 2.0 
 Ep_number: 56, Ep_Reward: -2110.0, Ep_tot_steps: 200, T_overlap: 11, T_nonbonded: 199, T_tot_all_min: 1, T_similar_min: 1, T_lower_ene_min: 0, T_higher_ene_min: 0, T_high_low_min: 0, T_unique_min: (26, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 6, atom_shift: 2.0 
 Ep_number: 57, Ep_Reward: -1748.1, Ep_tot_steps: 200, T_overlap: 8, T_nonbonded: 199, T_tot_all_min: 1, T_similar_min: 0, T_lower_ene_min: 1, T_higher_ene_min: 0, T_high_low_min: 1, T_unique_min: (27, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 8, atom_shift: 2.0 
 Ep_number: 58, Ep_Reward: -2010.0, Ep_tot_steps: 200, T_overlap: 1, T_nonbonded: 200, T_tot_all_min: 0, T_similar_min: 0, T_lower_ene_min: 0, T_higher_ene_min: 0, T_high_low_min: 0, T_unique_min: (26, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 6, atom_shift: 2.0 
 Ep_number: 59, Ep_Reward: -959.0, Ep_tot_steps: 200, T_overlap: 6, T_nonbonded: 194, T_tot_all_min: 6, T_similar_min: 4, T_lower_ene_min: 2, T_higher_ene_min: 0, T_high_low_min: 2, T_unique_min: (28, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 0, atom_shift: -2.0 
 Ep_number: 60, Ep_Reward: -2050.0, Ep_tot_steps: 200, T_overlap: 5, T_nonbonded: 199, T_tot_all_min: 1, T_similar_min: 1, T_lower_ene_min: 0, T_higher_ene_min: 0, T_high_low_min: 0, T_unique_min: (26, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 10, atom_shift: 2.0 
 Ep_number: 61, Ep_Reward: -2080.0, Ep_tot_steps: 200, T_overlap: 8, T_nonbonded: 198, T_tot_all_min: 2, T_similar_min: 2, T_lower_ene_min: 0, T_higher_ene_min: 0, T_high_low_min: 0, T_unique_min: (26, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 4, atom_shift: 2.0 
 Ep_number: 62, Ep_Reward: -1678.8, Ep_tot_steps: 200, T_overlap: 3, T_nonbonded: 196, T_tot_all_min: 4, T_similar_min: 3, T_lower_ene_min: 1, T_higher_ene_min: 0, T_high_low_min: 1, T_unique_min: (27, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 9, atom_shift: 2.0 
 Ep_number: 63, Ep_Reward: -2050.0, Ep_tot_steps: 200, T_overlap: 5, T_nonbonded: 200, T_tot_all_min: 0, T_similar_min: 0, T_lower_ene_min: 0, T_higher_ene_min: 0, T_high_low_min: 0, T_unique_min: (26, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 9, atom_shift: 2.0 
 Ep_number: 64, Ep_Reward: -2100.0, Ep_tot_steps: 200, T_overlap: 10, T_nonbonded: 200, T_tot_all_min: 0, T_similar_min: 0, T_lower_ene_min: 0, T_higher_ene_min: 0, T_high_low_min: 0, T_unique_min: (26, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 11, atom_shift: 2.0 
 Ep_number: 65, Ep_Reward: -2000.0, Ep_tot_steps: 200, T_overlap: 0, T_nonbonded: 200, T_tot_all_min: 0, T_similar_min: 0, T_lower_ene_min: 0, T_higher_ene_min: 0, T_high_low_min: 0, T_unique_min: (26, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 4, atom_shift: -2.0 
 Ep_number: 66, Ep_Reward: -2020.0, Ep_tot_steps: 200, T_overlap: 2, T_nonbonded: 200, T_tot_all_min: 0, T_similar_min: 0, T_lower_ene_min: 0, T_higher_ene_min: 0, T_high_low_min: 0, T_unique_min: (26, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 8, atom_shift: -2.0 
 Ep_number: 67, Ep_Reward: -1980.0, Ep_tot_steps: 200, T_overlap: 0, T_nonbonded: 198, T_tot_all_min: 2, T_similar_min: 0, T_lower_ene_min: 0, T_higher_ene_min: 2, T_high_low_min: 2, T_unique_min: (28, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 9, atom_shift: 2.0 
 Ep_number: 68, Ep_Reward: -2010.0, Ep_tot_steps: 200, T_overlap: 1, T_nonbonded: 200, T_tot_all_min: 0, T_similar_min: 0, T_lower_ene_min: 0, T_higher_ene_min: 0, T_high_low_min: 0, T_unique_min: (26, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 9, atom_shift: 2.0 
 Ep_number: 69, Ep_Reward: -2070.0, Ep_tot_steps: 200, T_overlap: 7, T_nonbonded: 199, T_tot_all_min: 1, T_similar_min: 1, T_lower_ene_min: 0, T_higher_ene_min: 0, T_high_low_min: 0, T_unique_min: (26, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 2, atom_shift: 2.0 
 Ep_number: 70, Ep_Reward: -1861.7, Ep_tot_steps: 200, T_overlap: 4, T_nonbonded: 190, T_tot_all_min: 10, T_similar_min: 6, T_lower_ene_min: 1, T_higher_ene_min: 3, T_high_low_min: 4, T_unique_min: (30, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 6, atom_shift: -2.0 
